Territorio,Maschi,Femmine,Totale,superficie,num_comuni,num_provincie
Abruzzo,637388,668382,1305770,10831.84,305.0,4.0
Basilicata,273941,282993,556934,10073.32,131.0,2.0
Calabria,942644,982057,1924701,15221.9,409.0,5.0
Campania,2820555,2965306,5785861,13670.95,550.0,5.0
Emilia-Romagna,2174599,2292519,4467118,22452.78,333.0,9.0
Friuli-Venezia Giulia,589215,622142,1211357,7862.3,216.0,4.0
Lazio,2832324,3033220,5865544,17232.29,378.0,5.0
Liguria,739021,804106,1543127,5416.21,235.0,4.0
Lombardia,4949770,5154199,10103969,23863.65,1524.0,12.0
Marche,738259,780141,1518400,9401.38,229.0,5.0
Molise,148764,153501,302265,4460.65,136.0,2.0
Piemonte,2109314,2232061,4341375,25387.07,1201.0,8.0
Puglia,1950256,2058040,4008296,19540.9,258.0,6.0
Sardegna,800902,829572,1630474,24100.02,377.0,5.0
Sicilia,2416233,2552177,4968410,25832.39,390.0,9.0
Toscana,1798279,1924450,3722729,22987.04,276.0,10.0
Trentino-Alto Adige,529824,544995,1074819,13605.5,293.0,2.0
Umbria,424592,455693,880285,8464.33,92.0,2.0
Valle d'Aosta,61325,64176,125501,3260.9,74.0,1.0
Veneto,2403360,2504344,4907704,18407.42,576.0,7.0
